name,address,price,num_residents,image,location_type,sq_ft,availability,time_to_campus,amenities
91 Easton,"91 Easton Ave, New Brunswick, NJ 08901",1350,14,https://s3.amazonaws.com/rcp-prod-uploads/property_images/slider_images/2024-09/048a975c3433cd49a710c5193c808efa3ae868aff0.png,off_campus,2595,TRUE,6,"Ample Closet Space, Bedrooms Keyed Separately, Porch, Walking Distance to Class, Washer & Dryer, 24 Hour Emergency Maintenance, Cable Ready, Internet Ready, Laundry On-Site, Complimentary Biweekly Cleaning, Studio Sized Bedrooms, Two Common Areas, Parking"
12 Bartlett,"12 Bartlett St, New Brunswick, NJ 08901",2595,3,https://s3.amazonaws.com/rcp-prod-uploads/property_images/slider_images/2024-09/1f02b673a2026cbcbf7f5f4e29e0f6864f6e7f90xi.png,off_campus,,TRUE,5,"9 Foot Ceilings, Ample Closet Space, Bedrooms Keyed Separately, Central Heat and Air Conditioning, Dishwasher, Electronic Key System, Fresh Paint, Hardwood Floors, Individual Leases Offered, Patio, Quartz Countertops, Room-By-Room Climate Control, Walking Distance to Class, Washer & Dryer, 24 Hour Emergency Maintenance, Cable Ready, Common Area Wi-Fi, Internet Ready, Laundry Room, On-Site Maintenance, On-Site Storage, Property Manager On Site"
130 Easton,"130 Easton Ave, New Brunswick, NJ 08901",1625,1,https://s3.amazonaws.com/rcp-prod-uploads/property_images/slider_images/2024-07/13df533f5993f2203ce55fe3542ff1be55caa80eWh.png,off_campus,500,TRUE,7,"Carpet, Central Heat and Air Conditioning, Dishwasher, Oven, Refrigerator, Laundry On-Site, Unfurnished"
44 Courtlandt,"44 Courtlandt St, New Brunswick, NJ 08901",2445,3,https://s3.amazonaws.com/rcp-prod-uploads/property_images/slider_images/2025-03/88782c9f34421ad0a0a1053f19946ef91c6b4880Qf.jpg,off_campus,775,TRUE,9,"Air Conditioning, Ceiling Fans, Central Heat and Air Conditioning, Den, Fresh Paint, Furnished Packages Available, Granite Countertops, High Ceilings, Keyless Entry, Microwave, New Cabinets, New Windows, Oven, Pantry, Parking Available, Private Bathrooms, Refrigerator, Roommate Matching Available, SSN Not Required, Security Cameras On Site, Stainless Steel Kitchen Appliances, Walking Distance to Class, Washer & Dryer, 24 Hour Emergency Maintenance, 24 hour Fitness Center, Academic Term or 12-month, Academic year, Alarm System, Fitness Center, Pets Allowed"
Birchwood Terrace,"272 Hamilton St, New Brunswick, NJ 0801",3600,4,https://s3.amazonaws.com/rcp-prod-uploads/property_images/slider_images/2024-10/da3d140d9919c7b396b246083f846992233ac80684.jpg,off_campus,1200,TRUE,16,"Air Conditioning, Dishwasher, Hardwood Floors, Oven, Parking Available, Refrigerator, Walk-in Closet, Walking Distance to Class, 24 Hour Emergency Maintenance, Cable Ready, Common Area Wi-Fi, Internet Ready, Laundry On-Site, Live in Super, On-Site Maintenance, On-Site Super, Property Manager On Site, Unfurnished"
Gardens At Raritan,"1 Chester Cir, New Brunswick, NJ 08901",2369,2,https://s3.amazonaws.com/rcp-prod-uploads/property_images/slider_images/2025-03/dca50859f6b30c64f9ac10d556c0a6cda5c572a2jN.jpg,off_campus,667,TRUE,27,"Ample Closet Space, Ceiling Fans, Hardwood Floors, Microwave, Oven, Parking Available, Refrigerator, Tile, Walk-in Closet, Window Treatments & Coverings, 24 Hour Emergency Maintenance, Cable Ready, Cats, Dog Park, Dogs, Laundry On-Site, On-Site Maintenance, Property Manager On Site, Unfurnished"
66 Sicard St,"66 Sicard St Ave, New Brunswick, NJ 08901",2500,2,https://s3.amazonaws.com/rcp-prod-uploads/property_images/slider_images/2024-07/02ae674473fb6f342e2218ec3d2926250634c66dui.png,off_campus,636,TRUE,3,"Carpet, Central Heat and Air Conditioning, Dishwasher, Microwave, Oven, Refrigerator, Security Cameras On Site, Laundry On-Site"
SoCam 290,"290 George St, New Brunswick, NJ 08901",2250,1,https://s3.amazonaws.com/rcp-prod-uploads/property_images/slider_images/2025-01/6641dcec9f0d9593dc2fda96b1c132ea0274499e6g.webp,off_campus,,TRUE,14,"Dishwasher, Furnished, Microwave, Oven, Refrigerator, Roommate Matching Available, Washer & Dryer, Wood Plank Flooring, Cable Ready, Cafe, Coffee Bar, Controlled Building Access, Fitness Center, Foosball Table, Gaming Lounge, Internet Ready, Laundry On-Site, Media Lounge, Pets Allowed, Ping Pong, Study Room"
32 Prosper St,"32 Prosper St, New Brunswick, NJ 08901",7850,6,https://s3.amazonaws.com/rcp-prod-uploads/property_images/slider_images/2024-12/e7c55161fe0733545c66470def54ef848d0cfc74mb.png,off_campus,2475,TRUE,6,"Microwave, Oven, Refrigerator, Washer & Dryer, 9 Foot Ceilings, Air Conditioning, Security System, 24-Hour Security, Finished Basement"
52 Mine St,"52 Mine St, New Brunswick, NJ 08901",875,4,https://s3.amazonaws.com/rcp-prod-uploads/property_images/slider_images/2025-02/71ea586411fce93469b733176057ca72c683d3e7b5.jpg,off_campus,,TRUE,7,"Oven, Refrigerator, Washer & Dryer"
115 N 3rd Ave,"115 N 3rd Ave, Highland Park, NJ 08904",1900,2,,off_campus,,TRUE,29,Water
The Lofts at Neilson Crossings,"145 Neilson St, New Brunswick, NJ 08901",3230,2,https://s3.amazonaws.com/rcp-prod-uploads/property_images/slider_images/2021-10/2086c130fc2107815755e536694f81fdd9daa7a8n4.jpg,off_campus,1000,TRUE,14,"Gas, 14 Foot Ceilings, Air Conditioning, Ample Closet Space, Built-In Sound System, Walking Distance to Class, 24 Hour Emergency Maintenance, Academic Term or 12-month, Academic term vs 12 months, On Bus Line"
